"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-10","0.00","0.0","73","55"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-11","0.17","0.0","58","34"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-12","0.00","0.0","45","28"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-13","0.21","0.0","54","30"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-14","0.00","0.0","56","35"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-15","0.87","0.0","60","40"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-16","0.20","0.0","76","56"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-17","0.00","0.0","68","40"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-18","0.00","0.0","54","36"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-19","0.00","0.0","66","40"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-20","1.00","0.0","55","40"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-21","0.06","0.0","50","31"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-22","0.00","0.0","61","29"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-23","0.00","0.0","65","32"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-24","0.00","0.0","64","34"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-25","0.00","0.0","70","38"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-26","0.06","0.0","76","50"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-27","1.00","0.0","68","42"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-28","0.36","0.0","45","35"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-29","0.00","0.0","53","34"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-04-30","0.04","0.0","47","36"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-01","0.72","0.0","40","35"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-02","0.28","0.0","53","39"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-03","0.00","0.0","51","29"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-04","0.00","0.0","63","31"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-05","0.00","0.0","67","35"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-06","0.00","0.0","63","40"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-07","0.00","0.0","62","35"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-08","0.00","0.0","62","26"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-09","0.00","0.0","59","37"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-10","0.03","0.0","57","46"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-11","0.07","0.0","68","48"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-12","0.00","0.0","69","48"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-13","0.00","0.0","70","49"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-14","0.00","0.0","71","46"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-15","0.00","0.0","66","47"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-16","0.28","0.0","77","50"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-17","0.13","0.0","84","54"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-18","0.25","0.0","79","60"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-19","0.01","0.0","66","37"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-20","0.00","0.0","51","40"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-21","0.65","0.0","56","44"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-22","0.02","0.0","62","45"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-23","0.03","0.0","68","47"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-24","0.69","0.0","57","48"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-25","0.02","0.0","55","46"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-26","0.00","0.0","70","49"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-27","0.00","0.0","70","52"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-28","0.01","0.0","75","52"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-29","0.23","0.0","75","55"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-30","0.00","0.0","68","49"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-05-31","0.00","0.0","64","50"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-01","0.00","0.0","72","42"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-02","0.00","0.0","78","47"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-03","0.66","0.0","83","54"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-04","0.34","0.0","83","62"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-05","0.00","0.0","85","57"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-06","0.00","0.0","74","46"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-07","0.00","0.0","75","47"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-08","0.00","0.0","78","53"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-09","0.02","0.0","80","56"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-10","0.00","0.0","77","59"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-11","0.00","0.0","89","66"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-12","0.00","0.0","85","75"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-13","0.80","0.0","87","64"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-14","0.20","0.0","74","64"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-15","0.46","0.0","86","65"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-16","0.00","0.0","87","60"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-17","0.06","0.0","86","65"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-18","0.20","0.0","85","63"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-19","0.10","0.0","72","57"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-20","0.09","0.0","73","55"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-21","0.19","0.0","74","50"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-22","1.64","0.0","79","52"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-23","0.96","0.0","77","63"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-24","0.00","0.0","79","58"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-25","0.11","0.0","70","50"
