,LOC,LATITUDE,LONGITUDE,Date_of_Day_0,VFR_Day_0,VFR_Day_1,VFR_Day_2,VFR_Day_3,VFR_Day_4,VFR_Day_5,VFR_Day_6,VFR_Day_7
351,OWD,42.190527777777774,-71.17294444444445,2022-05-09,45.71110613504507,46.72047670300221,76.89919467719393,132.95356612845296,137.2525561689126,105.35403702982349,51.63315003680004,28.610007082600546
352,OXC,41.47828055555556,-73.13518333333334,2022-05-09,58.18779166732686,51.36687012019868,93.16214348465269,123.50808551266203,113.94305938454663,35.71153159490527,25.567492669191484,19.477766203035326
353,OXR,34.20080555555556,-119.20722777777777,2022-05-09,40.257713172281285,31.987741245199384,47.96100023044573,55.523783008608845,61.39356018328237,68.31128270667183,75.2297268121656,57.91976155804827
354,PAE,47.90731944444444,-122.28209444444444,2022-05-09,99.66469258227835,116.26478247520375,96.21360990778146,73.16974373677768,234.93176289516668,24.614448188284456,31.96880891036079,65.27676878570404
355,PAH,37.060288888888884,-88.77295833333334,2022-05-09,49.374144523808305,46.89818291582158,42.9523478396769,36.11758287291684,36.88665560157408,16.5522763061762,15.334338020934812,51.097298167959785
356,PAO,37.461111111111116,-122.11505555555554,2022-05-09,85.76451762731475,88.11956322393999,92.11073576724793,102.42730100167931,111.78416878791514,122.67404134364125,118.85130306032333,91.39091500286953
357,PBI,26.68316111111111,-80.09559166666666,2022-05-09,64.49192262983539,54.58741482257248,48.29206157211957,42.56558051969269,46.14596969302482,54.025687382027975,55.44923355872824,67.09276937620177
358,PDK,33.87600277777778,-84.30203055555555,2022-05-09,171.39631528045518,219.75026449173535,216.61651313839687,203.7422046638879,100.4380877782518,124.28846697233585,253.571453401709,215.17836298639608
359,PDT,45.694766666666666,-118.84300833333333,2022-05-09,9.214420300148555,11.792081506783544,12.423349156715645,8.454805130381938,10.250318754152419,7.245763567346096,8.736317030077062,9.537357384012328
360,PDX,45.58870833333334,-122.59686944444444,2022-05-09,65.82095951387018,148.48347843066827,121.62248349834293,34.52312812999411,140.65704970739742,32.89548982753667,59.093009098081566,62.493135829491806
361,PGD,26.918591666666668,-81.99088611111111,2022-05-09,57.115410172588405,59.60714713201577,57.02243859683491,60.46956925169388,71.68864792509041,64.12251466735061,66.570137069698,74.47497222527602
362,PHF,37.13188888888889,-76.49297222222222,2022-05-09,15.78867277979463,13.894005905417195,17.42907571631423,16.10124958113522,31.238961417616675,10.775253774501218,30.1442895320309,19.156094076072883
363,PHL,39.872083333333336,-75.24066388888889,2022-05-09,37.512037341417034,31.647833083409193,30.995740545609777,32.569321822183085,28.518191652577645,6.693701329234878,11.810557528461569,18.138302966033226
364,PHX,33.43427777777777,-112.01158333333333,2022-05-09,99.00321035161014,96.39060547600815,84.97035158386336,102.80190972563898,106.09672780552397,101.12278552823014,90.93888622776193,104.39073468425559
365,PIA,40.66419444444444,-89.69325,2022-05-09,31.31334266968604,37.50438803590501,46.641333913997094,39.27797541559119,15.885473423309232,12.626722907495264,31.976093096018893,47.69830421358976
366,PIE,27.90863333333333,-82.68651111111112,2022-05-09,57.10443186774205,57.76666257463723,54.56993759334628,46.33069618451637,48.22601619023399,49.67186687932997,48.850069200409884,63.593898674808045
367,PIH,42.90979166666666,-112.59591944444443,2022-05-09,11.59587364469041,30.788930106514304,26.391306813241982,13.224207122531109,16.24809242028055,33.951206748625985,33.62361299296022,10.90123168381859
368,PIT,40.491416666666666,-80.23269444444445,2022-05-09,13.12692393323038,12.537144008900224,12.309596021100978,12.828980255756091,11.828637062072461,6.553888823946919,3.7772459781370027,6.270888114569633
369,PKB,39.34496111111111,-81.43929444444444,2022-05-09,36.42413353940123,38.845732991322855,40.65832650563802,38.59645563828902,30.188060255676962,12.391939204894854,14.42814940552896,26.607647548982538
370,PMD,34.62938888888889,-118.08455277777777,2022-05-09,25.862177005054093,25.54247031652601,25.08623167310785,27.26791998930181,28.469703839702255,27.69316808640475,25.018368614744833,26.00378270378469
371,PMP,26.247400000000003,-80.11120833333332,2022-05-09,176.40348749843284,168.89547633345592,167.81222475116502,152.28730476897968,171.07025903784915,169.51759175536057,186.08157897999615,180.77754107744363
372,PNE,40.08193888888889,-75.01057777777778,2022-05-09,133.92133871334013,117.34834598238778,128.81250956163194,145.56861752724788,146.8269876416732,35.806253770515056,62.51276651798051,64.05861790187569
373,PNS,30.473416666666665,-87.18661111111112,2022-05-09,62.82511787114615,79.11267373609415,141.63767033712915,83.95825897704913,77.71684374981179,61.03906432583434,40.054389811876405,74.77514230778071
