"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW"
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-03-18","0.05",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-03-19","0.29",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-04-09","0.33",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2020-04-13","0.61",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-01-25","0.07",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-01-26","0.25",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-01-30","0.12",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-02-13","0.12",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-03-12","0.02",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-03-13","0.02",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-06-25","0.39",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-07-20","0.02",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-07-26","0.17",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-07-27","0.02",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-08-31","0.02",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-09-02","0.03",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-10-06","0.07",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-10-08","0.01",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-10-09","0.05",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-12-10","0.09",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-12-15","0.28",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-12-24","0.22",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-12-26","0.02",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-12-29","0.10",
"US1AZMH0010","BULLHEAD CITY 3.8 NE, AZ US","35.1885","-114.5213","331.6","2021-12-30","0.02",
