"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-13","5.59","0.38",,"53","44"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-14","9.62","0.00",,"48","36"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-15","6.71","0.00",,"52","32"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-16","2.91","0.00",,"54","31"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-17","7.38","0.00",,"74","40"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-18","6.71","0.00",,"75","49"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-19","2.46","0.00",,"80","42"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-20","5.82","0.00",,"86","49"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-21","6.04","0.00",,"89","56"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-22","6.93","0.00",,"82","53"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-23","7.16","0.00",,"85","50"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-24","14.32","0.00",,"78","65"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-25","8.72","1.13",,"69","58"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-26","8.50","0.00",,"82","60"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-27","9.62","0.68",,"85","63"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-28","4.92","0.00",,"85","65"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-29","8.50","0.00",,"85","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-30","9.62","0.15",,"72","61"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-03-31","5.14","0.00",,"82","53"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-01","4.25","0.00",,"85","50"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-02","7.38","1.44",,"83","52"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-03","10.96","3.41",,"79","58"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-04","3.80","0.00",,"85","53"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-05","13.65","0.00",,"87","56"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-06","10.51","0.00",,"70","47"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-07","5.82","0.00",,"72","41"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-08","1.34","0.00",,"77","38"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-09","5.59","0.00",,"81","46"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-10","5.82","0.00",,"81","50"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-11","2.46","0.00",,"82","56"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-12","2.24","0.04",,"84","60"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-13","1.57","0.00",,"87","55"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-14","3.58","0.00",,"85","56"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-15","6.04","0.00",,"84","54"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-16","6.04","0.00",,"84","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-17","5.14","0.12",,"82","62"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-18","3.80","0.00",,"84","58"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-19","2.91","0.00",,"85","57"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-20","4.70","0.00",,"86","61"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-21","6.49","0.00",,"87","60"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-22","7.61","1.68",,"86","60"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-23","8.50","0.03",,"64","53"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-24","5.37","0.00",,"73","51"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-25","4.92","0.00",,"82","49"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-26","10.51","0.51",,"85","55"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-27","3.36","0.05",,"80","60"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-28","12.30","0.00",,"89","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-29","14.09","0.01",,"88","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-04-30","12.53","2.64",,"76","64"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-01","7.61","0.00",,"79","54"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-02","3.13","0.00",,"86","51"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-03","8.50","0.56",,"82","56"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-04","10.96","0.10",,"66","51"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-05","8.50","0.00",,"72","50"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-06","6.04","0.00",,"79","44"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-07","2.24","0.00",,"84","51"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-08","2.01","0.00",,"86","55"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-09","3.80","0.00",,"87","57"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-10","4.47","0.00",,"87","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-11","4.25","0.00",,"81","61"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-12","6.93","0.01",,"80","64"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-13","7.61","0.00",,"79","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-14","1.79","0.00",,"86","53"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-15","1.57","0.00",,"89","57"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-16","4.92","0.00",,"91","60"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-17","9.84","0.00",,"90","62"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-18","6.26","0.00",,"88","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-19","4.70","0.02",,"91","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-20","4.92","1.32",,"85","70"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-21","5.37","0.00",,"83","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-22","4.25","0.53",,"79","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-23","4.25","0.58",,"81","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-24","8.95","0.01",,"76","57"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-25","5.59","0.00",,"81","52"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-26","8.50","0.00",,"89","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-27","8.28","0.00",,"90","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-28","6.71","0.00",,"86","72"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-29","3.13","0.20",,"86","67"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-30","5.37","0.01",,"83","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-05-31","4.47","0.03",,"84","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-01","3.36","0.38",,"84","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-02","4.70","0.00",,"87","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-03","4.92","0.27",,"80","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-04","5.59","0.06",,"85","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-05","5.59","0.44",,"87","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-06","6.71","0.30",,"85","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-07","9.62","0.00",,"85","64"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-08","5.82","0.00",,"84","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-09","1.79","0.00",,"85","58"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-10","2.91","0.00",,"89","62"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-11","4.92","0.14",,"92","64"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-12","4.25","0.23",,"92","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-13","3.58","0.00",,"91","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-14","2.68","0.07",,"91","72"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-15","5.59","1.51",,"89","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-16","5.59","1.12",,"91","67"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-17","5.14","0.00",,"88","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-18","6.26","0.38",,"89","72"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-19","3.80","1.09",,"92","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-20","6.26","0.06",,"85","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-21","9.84","2.60",,"79","72"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-22","12.97","0.20",,"88","77"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-23","10.29","0.74",,"90","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-24","5.59","0.37",,"89","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-25","7.38","0.00",,"82","65"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-26","4.70","0.00",,"87","62"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-27","3.80","0.00",,"89","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-28","5.37","0.08",,"90","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-29","7.61","0.55",,"79","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-06-30","6.71","0.50",,"89","72"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-01","6.49","1.00",,"93","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-02","5.14","0.00",,"91","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-03","4.47","0.00",,"93","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-04","5.14","0.00",,"93","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-05","6.04","0.01",,"93","76"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-06","5.82","0.00",,"94","76"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-07","5.14","0.00",,"94","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-08","5.59","0.00",,"92","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-09","4.03","0.00",,"93","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-10","3.58","0.00",,"94","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-11","4.92","0.00",,"93","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-12","3.13","0.00",,"91","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-13","2.24","0.07",,"92","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-14","2.91","0.31",,"93","72"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-15","2.46","1.02",,"92","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-16","2.01","0.81",,"91","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-17","3.13","0.02",,"93","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-18","2.68","0.00",,"93","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-19","2.01","0.00",,"96","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-20","2.68","0.00",,"97","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-21","3.13","0.90",,"94","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-22","4.47","0.00",,"94","72"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-23","5.37","0.00",,"92","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-24","5.59","0.06",,"88","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-25","4.03","0.00",,"86","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-26","2.91","0.00",,"96","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-27","2.68","0.00",,"96","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-28","6.04","0.40",,"93","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-29","6.04","0.59",,"93","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-30","7.38","0.00",,"90","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-07-31","4.92","0.00",,"91","70"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-01","2.46","0.00",,"91","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-02","2.46","0.00",,"87","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-03","2.46","0.00",,"91","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-04","3.58","0.00",,"94","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-05","3.13","0.00",,"94","70"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-06","6.93","0.28",,"88","72"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-07","6.26","4.16",,"90","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-08","3.13","0.01",,"83","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-09","4.25","1.49",,"86","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-10","4.03","1.20",,"89","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-11","4.92","0.08",,"93","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-12","2.91","0.02",,"93","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-13","2.01","0.00",,"95","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-14","5.82","0.00",,"94","76"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-15","5.59","0.04",,"94","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-16","5.37","0.42",,"92","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-17","6.26","0.00",,"93","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-18","3.13","0.00",,"95","76"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-19","4.70","0.00",,"96","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-20","2.68","0.00",,"96","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-21","2.91","0.00",,"94","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-22","2.91","0.00",,"92","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-23","5.59","0.00",,"94","76"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-24","6.04","0.00",,"91","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-25","3.13","0.00",,"88","65"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-26","5.14","0.00",,"86","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-27","3.58","0.00",,"87","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-28","5.37","0.00",,"80","70"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-29","6.04","0.19",,"74","70"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-30","10.74","0.01",,"85","74"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-08-31","14.32","0.06",,"85","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-01","4.92","0.00",,"89","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-02","1.79","0.00",,"89","65"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-03","1.57","0.00",,"90","62"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-04","1.79","0.00",,"90","63"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-05","5.82","0.81",,"92","67"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-06","6.93","0.00",,"82","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-07","4.03","0.00",,"80","53"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-08","3.58","0.00",,"83","54"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-09","7.83","0.00",,"84","57"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-10","9.84","0.00",,"83","62"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-11","10.07","0.09",,"72","58"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-12","8.05","0.05",,"65","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-13","3.80","0.01",,"74","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-14","2.68","0.00",,"88","63"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-15","2.46","0.00",,"90","63"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-16","2.01","0.00",,"91","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-17","2.68","0.00",,"95","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-18","2.68","0.00",,"94","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-19","2.91","0.00",,"95","70"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-20","2.24","0.00",,"92","70"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-21","2.24","0.00",,"94","67"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-22","2.91","0.00",,"93","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-23","2.46","0.06",,"94","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-24","4.03","0.00",,"90","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-25","2.68","0.03",,"86","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-26","2.01","0.00",,"92","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-27","2.01","0.00",,"94","66"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-28","5.82","0.00",,"93","67"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-29","7.16","0.00",,"91","65"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-09-30","7.83","0.00",,"90","63"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-01","9.40","0.00",,"86","69"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-02","6.49","0.05",,"81","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-03","9.17","0.00",,"88","70"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-04","6.49","0.00",,"86","63"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-05","4.25","0.00",,"88","59"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-06","4.92","0.00",,"89","61"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-07","6.71","0.20",,"90","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-08","8.50","0.47",,"86","75"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-09","4.92","0.01",,"85","73"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-10","4.70","0.27",,"85","71"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-11","4.92","0.00",,"89","68"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-12","4.70","0.00",,"86","60"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-13","2.68","0.00",,"91","57"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-14","5.14","0.00",,"89","65"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-15","5.37","0.34",,"86","63"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-16","12.30","0.02",,"73","51"
"USW00013865","MERIDIAN KEY FIELD, MS US","2017-10-17","5.82","0.00",,"76","49"
