,day_index,DATE_unix_UTC,SUNRISE,SUNSET,TMAX,TMIN,AWND,FORECAST,PROB_PREC,PRCP,SNOW,Date,Month,Day,Week_Day,PRCP_SQRT,SNOW_SQRT,isAHOLIDAY,IFR,Intercept,LOC,LATITUDE,LONGITUDE,Intercept_coeff,IFR_coeff,AWND_coeff,PRCP_coeff,PRCP_SQRT_coeff,SNOW_coeff,SNOW_SQRT_coeff,TMIN_coeff,TMAX_coeff,isAHOLIDAY_coeff,Month_coeff,Day_coeff,Week_Day_coeff,Intercept_coeff_se,IFR_coeff_se,AWND_coeff_se,PRCP_coeff_se,PRCP_SQRT_coeff_se,SNOW_coeff_se,SNOW_SQRT_coeff_se,TMIN_coeff_se,TMAX_coeff_se,isAHOLIDAY_coeff_se,Month_coeff_se,Day_coeff_se,Week_Day_coeff_se,Intercept_p,IFR_p,AWND_p,PRCP_p,PRCP_SQRT_p,SNOW_p,SNOW_SQRT_p,TMIN_p,TMAX_p,isAHOLIDAY_p,Month_p,Day_p,Week_Day_p,test_root_MSE,R2,PSEUDO R-SQU,LOG-LIKELIHOOD,LL-NULL,LLR p-value,CONF_lower,CONF_upper,y_forecast
46,6,1649779200,2022-04-12 06:20:48,2022-04-12 19:30:24,66.43,49.64,16.73,Clouds,0.0,0.0,0.0,2022-04-12,4,12,1,0.0,0.0,0,1016.0695509309967,1,JFK,40.63915,-73.7639,2.677263245051908,0.0007386586419905876,-0.017388042832603017,0.2107969133340733,-1.1735362102350235,NaN,-0.1854201571455039,-0.017694698396434193,0.03192118034924201,NaN,NaN,NaN,-0.029480781146288382,0.09848585929912806,3.976773301478878e-05,0.0035990522868263016,0.10652238776456964,0.11612263772117047,NaN,0.05791007567991063,0.0033498166746298032,0.0031616981357373447,NaN,NaN,NaN,0.007421324708651316,9.975558991649019e-163,5.185680185552534e-77,1.3565550679221174e-06,0.04782751979312729,5.195889656929752e-24,NaN,0.0013654168619812732,1.275800186706334e-07,5.741630602867676e-24,NaN,NaN,NaN,7.113959420510363e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.44501836811908
47,7,1649865600,2022-04-13 06:19:15,2022-04-13 19:31:26,64.42,55.36,13.33,Clouds,0.0,0.0,0.0,2022-04-13,4,13,2,0.0,0.0,0,1016.0695509309967,1,JFK,40.63915,-73.7639,2.677263245051908,0.0007386586419905876,-0.017388042832603017,0.2107969133340733,-1.1735362102350235,NaN,-0.1854201571455039,-0.017694698396434193,0.03192118034924201,NaN,NaN,NaN,-0.029480781146288382,0.09848585929912806,3.976773301478878e-05,0.0035990522868263016,0.10652238776456964,0.11612263772117047,NaN,0.05791007567991063,0.0033498166746298032,0.0031616981357373447,NaN,NaN,NaN,0.007421324708651316,9.975558991649019e-163,5.185680185552534e-77,1.3565550679221174e-06,0.04782751979312729,5.195889656929752e-24,NaN,0.0013654168619812732,1.275800186706334e-07,5.741630602867676e-24,NaN,NaN,NaN,7.113959420510363e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.6151155815625
48,0,1649264400,2022-04-06 07:15:16,2022-04-06 20:06:29,52.52,44.87,9.64,Rain,1.0,0.4775590551181103,0.0,2022-04-06,4,6,2,0.6910564775169322,0.0,0,392.13526834611173,1,CVG,39.04443,-84.67241,2.0538539084434384,-0.00047405960170049545,-0.04025940262908055,0.5677881708995192,-1.7480630630518998,NaN,-0.34522997341536094,-0.02212092631644135,0.02591316206952589,NaN,NaN,NaN,-0.05475370308627083,0.14212232914923367,0.00020276688731036708,0.0059780651038353625,0.14256886279874642,0.1531454727821882,NaN,0.1088841983448978,0.003403580877233657,0.003200463675740896,NaN,NaN,NaN,0.010035564787933314,2.459610249741819e-47,0.019389648236849178,1.6447129429974563e-11,6.817867532203394e-05,3.543572584571733e-30,NaN,0.0015211612232202017,8.068938197465205e-11,5.647476744662477e-16,NaN,NaN,NaN,4.8707236270713255e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2297417229206804
49,1,1649350800,2022-04-07 07:13:44,2022-04-07 20:07:27,49.17,37.58,12.37,Rain,0.2,0.004330708661417323,0.0,2022-04-07,4,7,3,0.06580812002646272,0.0,0,392.13526834611173,1,CVG,39.04443,-84.67241,2.0538539084434384,-0.00047405960170049545,-0.04025940262908055,0.5677881708995192,-1.7480630630518998,NaN,-0.34522997341536094,-0.02212092631644135,0.02591316206952589,NaN,NaN,NaN,-0.05475370308627083,0.14212232914923367,0.00020276688731036708,0.0059780651038353625,0.14256886279874642,0.1531454727821882,NaN,0.1088841983448978,0.003403580877233657,0.003200463675740896,NaN,NaN,NaN,0.010035564787933314,2.459610249741819e-47,0.019389648236849178,1.6447129429974563e-11,6.817867532203394e-05,3.543572584571733e-30,NaN,0.0015211612232202017,8.068938197465205e-11,5.647476744662477e-16,NaN,NaN,NaN,4.8707236270713255e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.645766843826859
50,2,1649437200,2022-04-08 07:12:12,2022-04-08 20:08:24,44.78,35.19,13.51,Rain,1.0,0.09212598425196851,0.0,2022-04-08,4,8,4,0.3035226256014014,0.0,1,392.13526834611173,1,CVG,39.04443,-84.67241,2.0538539084434384,-0.00047405960170049545,-0.04025940262908055,0.5677881708995192,-1.7480630630518998,NaN,-0.34522997341536094,-0.02212092631644135,0.02591316206952589,NaN,NaN,NaN,-0.05475370308627083,0.14212232914923367,0.00020276688731036708,0.0059780651038353625,0.14256886279874642,0.1531454727821882,NaN,0.1088841983448978,0.003403580877233657,0.003200463675740896,NaN,NaN,NaN,0.010035564787933314,2.459610249741819e-47,0.019389648236849178,1.6447129429974563e-11,6.817867532203394e-05,3.543572584571733e-30,NaN,0.0015211612232202017,8.068938197465205e-11,5.647476744662477e-16,NaN,NaN,NaN,4.8707236270713255e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7421065292866893
51,3,1649523600,2022-04-09 07:10:41,2022-04-09 20:09:22,42.03,33.44,11.79,Snow,1.0,0.04960629921259843,0.02598425196850394,2022-04-09,4,9,5,0.22272471621398113,0.16119631499666467,0,392.13526834611173,1,CVG,39.04443,-84.67241,2.0538539084434384,-0.00047405960170049545,-0.04025940262908055,0.5677881708995192,-1.7480630630518998,NaN,-0.34522997341536094,-0.02212092631644135,0.02591316206952589,NaN,NaN,NaN,-0.05475370308627083,0.14212232914923367,0.00020276688731036708,0.0059780651038353625,0.14256886279874642,0.1531454727821882,NaN,0.1088841983448978,0.003403580877233657,0.003200463675740896,NaN,NaN,NaN,0.010035564787933314,2.459610249741819e-47,0.019389648236849178,1.6447129429974563e-11,6.817867532203394e-05,3.543572584571733e-30,NaN,0.0015211612232202017,8.068938197465205e-11,5.647476744662477e-16,NaN,NaN,NaN,4.8707236270713255e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.863707727286435
52,4,1649610000,2022-04-10 07:09:10,2022-04-10 20:10:20,56.43,29.21,9.62,Rain,0.26,0.006692913385826772,0.0,2022-04-10,4,10,6,0.08181022788030096,0.0,0,392.13526834611173,1,CVG,39.04443,-84.67241,2.0538539084434384,-0.00047405960170049545,-0.04025940262908055,0.5677881708995192,-1.7480630630518998,NaN,-0.34522997341536094,-0.02212092631644135,0.02591316206952589,NaN,NaN,NaN,-0.05475370308627083,0.14212232914923367,0.00020276688731036708,0.0059780651038353625,0.14256886279874642,0.1531454727821882,NaN,0.1088841983448978,0.003403580877233657,0.003200463675740896,NaN,NaN,NaN,0.010035564787933314,2.459610249741819e-47,0.019389648236849178,1.6447129429974563e-11,6.817867532203394e-05,3.543572584571733e-30,NaN,0.0015211612232202017,8.068938197465205e-11,5.647476744662477e-16,NaN,NaN,NaN,4.8707236270713255e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.228022987150978
53,5,1649696400,2022-04-11 07:07:40,2022-04-11 20:11:18,66.63,48.04,15.32,Rain,0.82,0.1110236220472441,0.0,2022-04-11,4,11,0,0.33320207389397216,0.0,1,392.13526834611173,1,CVG,39.04443,-84.67241,2.0538539084434384,-0.00047405960170049545,-0.04025940262908055,0.5677881708995192,-1.7480630630518998,NaN,-0.34522997341536094,-0.02212092631644135,0.02591316206952589,NaN,NaN,NaN,-0.05475370308627083,0.14212232914923367,0.00020276688731036708,0.0059780651038353625,0.14256886279874642,0.1531454727821882,NaN,0.1088841983448978,0.003403580877233657,0.003200463675740896,NaN,NaN,NaN,0.010035564787933314,2.459610249741819e-47,0.019389648236849178,1.6447129429974563e-11,6.817867532203394e-05,3.543572584571733e-30,NaN,0.0015211612232202017,8.068938197465205e-11,5.647476744662477e-16,NaN,NaN,NaN,4.8707236270713255e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.037673746752317
54,6,1649782800,2022-04-12 07:06:10,2022-04-12 20:12:17,60.58,55.56,14.34,Rain,0.92,0.10669291338582677,0.0,2022-04-12,4,12,1,0.3266388118179265,0.0,0,392.13526834611173,1,CVG,39.04443,-84.67241,2.0538539084434384,-0.00047405960170049545,-0.04025940262908055,0.5677881708995192,-1.7480630630518998,NaN,-0.34522997341536094,-0.02212092631644135,0.02591316206952589,NaN,NaN,NaN,-0.05475370308627083,0.14212232914923367,0.00020276688731036708,0.0059780651038353625,0.14256886279874642,0.1531454727821882,NaN,0.1088841983448978,0.003403580877233657,0.003200463675740896,NaN,NaN,NaN,0.010035564787933314,2.459610249741819e-47,0.019389648236849178,1.6447129429974563e-11,6.817867532203394e-05,3.543572584571733e-30,NaN,0.0015211612232202017,8.068938197465205e-11,5.647476744662477e-16,NaN,NaN,NaN,4.8707236270713255e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9044943314451546
55,7,1649869200,2022-04-13 07:04:42,2022-04-13 20:13:15,65.75,55.06,12.68,Rain,0.29,0.021653543307086617,0.0,2022-04-13,4,13,2,0.1471514298506359,0.0,0,392.13526834611173,1,CVG,39.04443,-84.67241,2.0538539084434384,-0.00047405960170049545,-0.04025940262908055,0.5677881708995192,-1.7480630630518998,NaN,-0.34522997341536094,-0.02212092631644135,0.02591316206952589,NaN,NaN,NaN,-0.05475370308627083,0.14212232914923367,0.00020276688731036708,0.0059780651038353625,0.14256886279874642,0.1531454727821882,NaN,0.1088841983448978,0.003403580877233657,0.003200463675740896,NaN,NaN,NaN,0.010035564787933314,2.459610249741819e-47,0.019389648236849178,1.6447129429974563e-11,6.817867532203394e-05,3.543572584571733e-30,NaN,0.0015211612232202017,8.068938197465205e-11,5.647476744662477e-16,NaN,NaN,NaN,4.8707236270713255e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.431945433565294
56,0,1649271600,2022-04-06 09:09:34,2022-04-06 21:54:08,72.97,50.5,13.6,Clear,0.0,0.0,0.0,2022-04-06,4,6,2,0.0,0.0,0,39.521358159912374,1,PRC,34.64915,-112.42234,4.095828581500296,0.012770994735918837,-0.04324168689201735,0.28641192775850555,-1.1573213433007603,NaN,-4.533505530688043e-16,-0.019351012935282234,0.025664901177104803,NaN,NaN,NaN,-0.03646440407140827,0.19707425487518848,0.0014618815208450615,0.011103665372502758,0.5862505984190198,0.468144454603872,NaN,5.338976026573521e-16,0.00468623304155286,0.004279824786412211,NaN,NaN,NaN,0.013756266540087712,6.145780633240734e-96,2.4151323479061818e-18,9.845772844048637e-05,0.6251612877909594,0.013430473224738173,NaN,0.3958067893906443,3.6381843495750294e-05,2.013455930550852e-09,NaN,NaN,NaN,0.008031360102162871,NaN,NaN,NaN,NaN,NaN,NaN,108.12610543683148,146.4764932154464,125.84884882044288
57,1,1649358000,2022-04-07 09:08:13,2022-04-07 21:54:55,73.35,45.21,8.41,Clear,0.0,0.0,0.0,2022-04-07,4,7,3,0.0,0.0,0,39.521358159912374,1,PRC,34.64915,-112.42234,4.095828581500296,0.012770994735918837,-0.04324168689201735,0.28641192775850555,-1.1573213433007603,NaN,-4.533505530688043e-16,-0.019351012935282234,0.025664901177104803,NaN,NaN,NaN,-0.03646440407140827,0.19707425487518848,0.0014618815208450615,0.011103665372502758,0.5862505984190198,0.468144454603872,NaN,5.338976026573521e-16,0.00468623304155286,0.004279824786412211,NaN,NaN,NaN,0.013756266540087712,6.145780633240734e-96,2.4151323479061818e-18,9.845772844048637e-05,0.6251612877909594,0.013430473224738173,NaN,0.3958067893906443,3.6381843495750294e-05,2.013455930550852e-09,NaN,NaN,NaN,0.008031360102162871,NaN,NaN,NaN,NaN,NaN,NaN,159.3124011226459,181.17348097601527,169.89167805998326
58,2,1649444400,2022-04-08 09:06:52,2022-04-08 21:55:42,76.77,48.7,9.37,Clear,0.0,0.0,0.0,2022-04-08,4,8,4,0.0,0.0,1,39.521358159912374,1,PRC,34.64915,-112.42234,4.095828581500296,0.012770994735918837,-0.04324168689201735,0.28641192775850555,-1.1573213433007603,NaN,-4.533505530688043e-16,-0.019351012935282234,0.025664901177104803,NaN,NaN,NaN,-0.03646440407140827,0.19707425487518848,0.0014618815208450615,0.011103665372502758,0.5862505984190198,0.468144454603872,NaN,5.338976026573521e-16,0.00468623304155286,0.004279824786412211,NaN,NaN,NaN,0.013756266540087712,6.145780633240734e-96,2.4151323479061818e-18,9.845772844048637e-05,0.6251612877909594,0.013430473224738173,NaN,0.3958067893906443,3.6381843495750294e-05,2.013455930550852e-09,NaN,NaN,NaN,0.008031360102162871,NaN,NaN,NaN,NaN,NaN,NaN,147.8872114523289,173.8855284935321,160.36036268611684
59,3,1649530800,2022-04-09 09:05:32,2022-04-09 21:56:28,75.52,54.28,26.28,Clouds,0.0,0.0,0.0,2022-04-09,4,9,5,0.0,0.0,0,39.521358159912374,1,PRC,34.64915,-112.42234,4.095828581500296,0.012770994735918837,-0.04324168689201735,0.28641192775850555,-1.1573213433007603,NaN,-4.533505530688043e-16,-0.019351012935282234,0.025664901177104803,NaN,NaN,NaN,-0.03646440407140827,0.19707425487518848,0.0014618815208450615,0.011103665372502758,0.5862505984190198,0.468144454603872,NaN,5.338976026573521e-16,0.00468623304155286,0.004279824786412211,NaN,NaN,NaN,0.013756266540087712,6.145780633240734e-96,2.4151323479061818e-18,9.845772844048637e-05,0.6251612877909594,0.013430473224738173,NaN,0.3958067893906443,3.6381843495750294e-05,2.013455930550852e-09,NaN,NaN,NaN,0.008031360102162871,NaN,NaN,NaN,NaN,NaN,NaN,42.86369544533983,97.64511936500999,64.69490442210763
60,4,1649617200,2022-04-10 09:04:13,2022-04-10 21:57:15,68.4,52.11,24.67,Clear,0.0,0.0,0.0,2022-04-10,4,10,6,0.0,0.0,0,39.521358159912374,1,PRC,34.64915,-112.42234,4.095828581500296,0.012770994735918837,-0.04324168689201735,0.28641192775850555,-1.1573213433007603,NaN,-4.533505530688043e-16,-0.019351012935282234,0.025664901177104803,NaN,NaN,NaN,-0.03646440407140827,0.19707425487518848,0.0014618815208450615,0.011103665372502758,0.5862505984190198,0.468144454603872,NaN,5.338976026573521e-16,0.00468623304155286,0.004279824786412211,NaN,NaN,NaN,0.013756266540087712,6.145780633240734e-96,2.4151323479061818e-18,9.845772844048637e-05,0.6251612877909594,0.013430473224738173,NaN,0.3958067893906443,3.6381843495750294e-05,2.013455930550852e-09,NaN,NaN,NaN,0.008031360102162871,NaN,NaN,NaN,NaN,NaN,NaN,39.55952863317857,85.31778382378633,58.09588033670216
61,5,1649703600,2022-04-11 09:02:54,2022-04-11 21:58:02,64.29,46.47,27.07,Clear,0.0,0.0,0.0,2022-04-11,4,11,0,0.0,0.0,1,39.521358159912374,1,PRC,34.64915,-112.42234,4.095828581500296,0.012770994735918837,-0.04324168689201735,0.28641192775850555,-1.1573213433007603,NaN,-4.533505530688043e-16,-0.019351012935282234,0.025664901177104803,NaN,NaN,NaN,-0.03646440407140827,0.19707425487518848,0.0014618815208450615,0.011103665372502758,0.5862505984190198,0.468144454603872,NaN,5.338976026573521e-16,0.00468623304155286,0.004279824786412211,NaN,NaN,NaN,0.013756266540087712,6.145780633240734e-96,2.4151323479061818e-18,9.845772844048637e-05,0.6251612877909594,0.013430473224738173,NaN,0.3958067893906443,3.6381843495750294e-05,2.013455930550852e-09,NaN,NaN,NaN,0.008031360102162871,NaN,NaN,NaN,NaN,NaN,NaN,42.69744429930804,100.22093849927863,65.41542585046226
