,processed_airports
220,HYA
221,HYI
222,IAD
223,IAG
224,IAH
225,ICT
226,IDA
227,IFP
228,ILG
229,ILM
230,IND
231,INT
232,IPT
233,ISM
234,ISO
235,ISP
236,ITH
237,ITO
238,IWA
239,IXD
240,JAC
241,JAN
242,JAX
243,JEF
244,JFK
245,JKA
246,JLN
247,JNU
248,JQF
249,JRF
250,JVL
251,JWN
252,JXN
253,KOA
254,LAF
255,LAL
256,LAN
257,LAS
258,LAW
259,LAX
260,LBB
261,LBE
262,LCH
263,LEB
264,LEE
265,LEX
266,LFT
267,LGA
268,LGB
269,LIH
270,LIT
271,LMT
272,LNK
273,LNS
274,LOU
275,LRD
276,LSE
277,LUK
278,LVK
279,LWB
280,LWM
281,LWS
282,LYH
283,LZU
284,MAF
285,MBS
286,MCI
287,MCN
288,MCO
289,MDH
290,MDT
291,MDW
292,MEI
293,MEM
294,MFD
295,MFE
296,MFR
297,MGM
298,MGW
299,MHK
300,MHR
301,MHT
302,MIA
303,MIE
304,MKC
305,MKE
306,MKG
307,MKK
308,MKL
309,MLB
310,MLI
311,MLU
312,MMU
313,MOB
314,MOD
315,MOT
316,MQY
317,MRY
318,MSN
319,MSO
320,MSP
321,MSY
322,MTN
323,MVY
324,MWA
325,MWC
326,MWH
327,MYF
328,MYR
329,NEW
330,NQA
331,OAJ
332,OAK
333,OCF
334,OGD
335,OGG
336,OJC
337,OKC
338,OLM
339,OLV
340,OMA
341,ONT
342,OPF
343,ORD
344,ORF
345,ORH
346,ORL
347,OSH
348,OSU
349,OTH
350,OUN
351,OWB
352,OWD
353,OXC
354,OXR
355,PAE
356,PAH
357,PAO
358,PBI
359,PDK
360,PDT
361,PDX
362,PGD
363,PHF
364,PHL
365,PHX
366,PIA
367,PIE
368,PIH
369,PIT
370,PKB
371,PMD
372,PMP
373,PNE
374,PNS
375,POC
376,POU
377,PRC
378,PSC
379,PSP
380,PTK
381,PUB
382,PVD
383,PVU
384,PWA
385,PWK
386,PWM
387,RAL
388,RAP
389,RBD
390,RDD
391,RDG
392,RDM
393,RDU
394,RFD
395,RIC
396,RME
397,RNO
398,RNT
399,ROA
400,ROC
401,ROG
402,ROW
403,RST
404,RSW
405,RVS
406,RYN
407,RYY
408,SAC
409,SAF
410,SAN
411,SAT
412,SAV
413,SAW
414,SBA
415,SBD
416,SBN
417,SBP
418,SBY
419,SCK
420,SDF
421,SDL
422,SDM
423,SEA
424,SEE
425,SFB
426,SFF
427,SFO
428,SGF
429,SGJ
430,SGR
431,SHV
432,SIG
433,SJC
434,SJT
435,SJU
436,SLC
437,SLE
438,SLN
439,SMF
440,SMO
441,SMX
442,SNA
443,SNS
444,SPG
445,SPI
446,SQL
447,SRQ
448,SSF
449,STC
450,STJ
451,STL
452,STP
453,STS
454,STT
455,STX
456,SUA
457,SUN
458,SUS
459,SUX
460,SWF
461,SWO
462,SYR
463,TCL
464,TEB
465,TIW
466,TIX
467,TKI
468,TLH
469,TMB
470,TOA
471,TOL
472,TOP
473,TPA
474,TRI
475,TTN
476,TUL
477,TUP
478,TUS
479,TVC
480,TWF
481,TXK
482,TYR
483,TYS
484,UAO
485,UES
486,UGN
487,UNV
488,VCT
489,VCV
490,VGT
491,VNY
492,VQQ
493,VRB
494,WDG
495,WJF
496,XNA
497,YIP
498,YKM
499,YNG
