,day_index,DATE_unix_UTC,SUNRISE,SUNSET,TMAX,TMIN,AWND,FORECAST,PROB_PREC,PRCP,SNOW,Date,Month,Day,Week_Day,Year,PRCP_SQRT,SNOW_SQRT,isAHOLIDAY,IFR,Intercept,LOC,REGION,LATITUDE,LONGITUDE,Intercept_coeff,IFR_coeff,AWND_coeff,PRCP_coeff,PRCP_SQRT_coeff,SNOW_coeff,SNOW_SQRT_coeff,TMIN_coeff,TMAX_coeff,isAHOLIDAY_coeff,Month_coeff,Day_coeff,Week_Day_coeff,Year_coeff,Intercept_coeff_se,IFR_coeff_se,AWND_coeff_se,PRCP_coeff_se,PRCP_SQRT_coeff_se,SNOW_coeff_se,SNOW_SQRT_coeff_se,TMIN_coeff_se,TMAX_coeff_se,isAHOLIDAY_coeff_se,Month_coeff_se,Day_coeff_se,Week_Day_coeff_se,Year_coeff_se,Intercept_p,IFR_p,AWND_p,PRCP_p,PRCP_SQRT_p,SNOW_p,SNOW_SQRT_p,TMIN_p,TMAX_p,isAHOLIDAY_p,Month_p,Day_p,Week_Day_p,Year_p,test_root_MSE,R2,PSEUDO R-SQU,LOG-LIKELIHOOD,LL-NULL,LLR p-value,mod_descript,expr,CONF_lower,CONF_upper,y_forecast
2382,6,1651424400,2022-05-01 06:20:17,2022-05-01 20:13:02,66.18,43.92,9.04,Rain,1.0,0.2866141732283465,0.0,2022-05-01,5,1,6,2022,0.5353635897484498,0.0,0,25.602528862012093,1,MGW,AEA,39.643594444444446,-79.91754722222223,-52.2434317954034,0.015093093243155897,NaN,0.6954351384486435,-2.0225459761381974,NaN,NaN,-0.016688121514218602,0.027994840076378417,NaN,0.008288755961557403,NaN,0.01784764265072932,0.027322947077688422,17.383712201308295,0.0012828918090961082,NaN,0.16218679739661376,0.14064749615251515,NaN,NaN,0.0017391466793703278,0.0016527093138676827,NaN,0.0038941377198073034,NaN,0.006207680102288257,0.00860781150658729,0.0026531091340630153,5.919677427234388e-32,NaN,1.803984395077819e-05,6.884669377742972e-47,NaN,NaN,8.344624136232597e-22,2.3299917877585756e-64,NaN,0.033293867149876095,NaN,0.004039115913401499,0.0015024820941166935,33.65,NaN,0.11427938218676292,-6914.518271086126,-7806.658366108082,0.0,generalizePoisson,VFR ~ IFR + PRCP + PRCP_SQRT + TMIN + TMAX + Year + Month + Week_Day,4.8882933943020145e-29,3.8867897849744836e+31,43.58872426549177
2383,7,1651510800,2022-05-02 06:19:05,2022-05-02 20:14:03,68.5,57.13,8.7,Rain,0.98,0.7472440944881891,0.0,2022-05-02,5,2,0,2022,0.8644328166423282,0.0,1,25.602528862012093,1,MGW,AEA,39.643594444444446,-79.91754722222223,-52.2434317954034,0.015093093243155897,NaN,0.6954351384486435,-2.0225459761381974,NaN,NaN,-0.016688121514218602,0.027994840076378417,NaN,0.008288755961557403,NaN,0.01784764265072932,0.027322947077688422,17.383712201308295,0.0012828918090961082,NaN,0.16218679739661376,0.14064749615251515,NaN,NaN,0.0017391466793703278,0.0016527093138676827,NaN,0.0038941377198073034,NaN,0.006207680102288257,0.00860781150658729,0.0026531091340630153,5.919677427234388e-32,NaN,1.803984395077819e-05,6.884669377742972e-47,NaN,NaN,8.344624136232597e-22,2.3299917877585756e-64,NaN,0.033293867149876095,NaN,0.004039115913401499,0.0015024820941166935,33.65,NaN,0.11427938218676292,-6914.518271086126,-7806.658366108082,0.0,generalizePoisson,VFR ~ IFR + PRCP + PRCP_SQRT + TMIN + TMAX + Year + Month + Week_Day,2.1433192063653376e-29,2.6286134826859415e+31,23.73595956255353
2384,0,1650909600,2022-04-25 07:35:44,2022-04-25 21:13:12,61.93,39.06,16.69,Clear,0.0,0.0,0.0,2022-04-25,4,25,0,2022,0.0,0.0,1,18.99725425590335,1,MHK,ACE,39.14122222222222,-96.67180555555557,2.54067623644568,0.014880261579536818,-0.054916495986708704,0.7701410943108687,-1.5010208413260147,NaN,NaN,-0.021065590023702545,0.031190107646490384,NaN,-0.014039274987196574,NaN,NaN,NaN,0.08521099545864849,0.0011976836913155696,0.00457150417537404,0.14470425179831928,0.1766993195007373,NaN,NaN,0.0018012474623410404,0.0018073646132735737,NaN,0.004883533148091836,NaN,NaN,NaN,2.402189785895756e-195,1.9314919295745387e-35,3.0441815170034808e-33,1.0253486254066529e-07,1.9831787543792093e-17,NaN,NaN,1.3518635941269544e-31,9.873427867179524e-67,NaN,0.004042588802798237,NaN,NaN,NaN,22.6,NaN,0.07599894576485455,-6179.001687371585,-6687.223633620568,3.3706051263465125e-215,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month,9.049590217658869,41.10530652801948,19.286943247954934
2385,1,1650996000,2022-04-26 07:34:27,2022-04-26 21:14:11,68.56,38.05,20.54,Clear,0.0,0.0,0.0,2022-04-26,4,26,1,2022,0.0,0.0,0,18.99725425590335,1,MHK,ACE,39.14122222222222,-96.67180555555557,2.54067623644568,0.014880261579536818,-0.054916495986708704,0.7701410943108687,-1.5010208413260147,NaN,NaN,-0.021065590023702545,0.031190107646490384,NaN,-0.014039274987196574,NaN,NaN,NaN,0.08521099545864849,0.0011976836913155696,0.00457150417537404,0.14470425179831928,0.1766993195007373,NaN,NaN,0.0018012474623410404,0.0018073646132735737,NaN,0.004883533148091836,NaN,NaN,NaN,2.402189785895756e-195,1.9314919295745387e-35,3.0441815170034808e-33,1.0253486254066529e-07,1.9831787543792093e-17,NaN,NaN,1.3518635941269544e-31,9.873427867179524e-67,NaN,0.004042588802798237,NaN,NaN,NaN,22.6,NaN,0.07599894576485455,-6179.001687371585,-6687.223633620568,3.3706051263465125e-215,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month,8.714091815254625,44.1322822570115,19.610526754891893
2386,2,1651082400,2022-04-27 07:33:10,2022-04-27 21:15:11,79.43,52.97,25.84,Rain,0.71,0.048425196850393704,0.0,2022-04-27,4,27,2,2022,0.22005725811795826,0.0,0,18.99725425590335,1,MHK,ACE,39.14122222222222,-96.67180555555557,2.54067623644568,0.014880261579536818,-0.054916495986708704,0.7701410943108687,-1.5010208413260147,NaN,NaN,-0.021065590023702545,0.031190107646490384,NaN,-0.014039274987196574,NaN,NaN,NaN,0.08521099545864849,0.0011976836913155696,0.00457150417537404,0.14470425179831928,0.1766993195007373,NaN,NaN,0.0018012474623410404,0.0018073646132735737,NaN,0.004883533148091836,NaN,NaN,NaN,2.402189785895756e-195,1.9314919295745387e-35,3.0441815170034808e-33,1.0253486254066529e-07,1.9831787543792093e-17,NaN,NaN,1.3518635941269544e-31,9.873427867179524e-67,NaN,0.004042588802798237,NaN,NaN,NaN,22.6,NaN,0.07599894576485455,-6179.001687371585,-6687.223633620568,3.3706051263465125e-215,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month,3.962969308362135,31.70478818651017,11.209152622355635
2387,3,1651168800,2022-04-28 07:31:54,2022-04-28 21:16:10,65.08,59.27,14.74,Rain,1.0,0.3637795275590551,0.0,2022-04-28,4,28,3,2022,0.6031413827280094,0.0,0,18.99725425590335,1,MHK,ACE,39.14122222222222,-96.67180555555557,2.54067623644568,0.014880261579536818,-0.054916495986708704,0.7701410943108687,-1.5010208413260147,NaN,NaN,-0.021065590023702545,0.031190107646490384,NaN,-0.014039274987196574,NaN,NaN,NaN,0.08521099545864849,0.0011976836913155696,0.00457150417537404,0.14470425179831928,0.1766993195007373,NaN,NaN,0.0018012474623410404,0.0018073646132735737,NaN,0.004883533148091836,NaN,NaN,NaN,2.402189785895756e-195,1.9314919295745387e-35,3.0441815170034808e-33,1.0253486254066529e-07,1.9831787543792093e-17,NaN,NaN,1.3518635941269544e-31,9.873427867179524e-67,NaN,0.004042588802798237,NaN,NaN,NaN,22.6,NaN,0.07599894576485455,-6179.001687371585,-6687.223633620568,3.3706051263465125e-215,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month,2.6646222793295107,25.73013332744479,8.280162227542899
2388,4,1651255200,2022-04-29 07:30:39,2022-04-29 21:17:09,68.81,61.36,26.37,Rain,1.0,0.3696850393700788,0.0,2022-04-29,4,29,4,2022,0.6080173018673719,0.0,1,18.99725425590335,1,MHK,ACE,39.14122222222222,-96.67180555555557,2.54067623644568,0.014880261579536818,-0.054916495986708704,0.7701410943108687,-1.5010208413260147,NaN,NaN,-0.021065590023702545,0.031190107646490384,NaN,-0.014039274987196574,NaN,NaN,NaN,0.08521099545864849,0.0011976836913155696,0.00457150417537404,0.14470425179831928,0.1766993195007373,NaN,NaN,0.0018012474623410404,0.0018073646132735737,NaN,0.004883533148091836,NaN,NaN,NaN,2.402189785895756e-195,1.9314919295745387e-35,3.0441815170034808e-33,1.0253486254066529e-07,1.9831787543792093e-17,NaN,NaN,1.3518635941269544e-31,9.873427867179524e-67,NaN,0.004042588802798237,NaN,NaN,NaN,22.6,NaN,0.07599894576485455,-6179.001687371585,-6687.223633620568,3.3706051263465125e-215,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month,1.326793357433339,16.55494555796223,4.686682387251653
2389,5,1651341600,2022-04-30 07:29:26,2022-04-30 21:18:09,58.95,48.83,28.41,Rain,1.0,0.08425196850393701,0.0,2022-04-30,4,30,5,2022,0.2902618964038115,0.0,0,18.99725425590335,1,MHK,ACE,39.14122222222222,-96.67180555555557,2.54067623644568,0.014880261579536818,-0.054916495986708704,0.7701410943108687,-1.5010208413260147,NaN,NaN,-0.021065590023702545,0.031190107646490384,NaN,-0.014039274987196574,NaN,NaN,NaN,0.08521099545864849,0.0011976836913155696,0.00457150417537404,0.14470425179831928,0.1766993195007373,NaN,NaN,0.0018012474623410404,0.0018073646132735737,NaN,0.004883533148091836,NaN,NaN,NaN,2.402189785895756e-195,1.9314919295745387e-35,3.0441815170034808e-33,1.0253486254066529e-07,1.9831787543792093e-17,NaN,NaN,1.3518635941269544e-31,9.873427867179524e-67,NaN,0.004042588802798237,NaN,NaN,NaN,22.6,NaN,0.07599894576485455,-6179.001687371585,-6687.223633620568,3.3706051263465125e-215,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month,1.8892333556776615,14.243800305512229,5.1874717010105575
2390,6,1651428000,2022-05-01 07:28:13,2022-05-01 21:19:08,62.96,42.24,18.7,Clouds,0.0,0.0,0.0,2022-05-01,5,1,6,2022,0.0,0.0,0,18.99725425590335,1,MHK,ACE,39.14122222222222,-96.67180555555557,2.54067623644568,0.014880261579536818,-0.054916495986708704,0.7701410943108687,-1.5010208413260147,NaN,NaN,-0.021065590023702545,0.031190107646490384,NaN,-0.014039274987196574,NaN,NaN,NaN,0.08521099545864849,0.0011976836913155696,0.00457150417537404,0.14470425179831928,0.1766993195007373,NaN,NaN,0.0018012474623410404,0.0018073646132735737,NaN,0.004883533148091836,NaN,NaN,NaN,2.402189785895756e-195,1.9314919295745387e-35,3.0441815170034808e-33,1.0253486254066529e-07,1.9831787543792093e-17,NaN,NaN,1.3518635941269544e-31,9.873427867179524e-67,NaN,0.004042588802798237,NaN,NaN,NaN,22.6,NaN,0.07599894576485455,-6179.001687371585,-6687.223633620568,3.3706051263465125e-215,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month,7.396292891104833,36.57296820801084,16.447017503593578
2391,7,1651514400,2022-05-02 07:27:02,2022-05-02 21:20:07,66.58,41.99,12.17,Rain,0.35,0.018503937007874015,0.0,2022-05-02,5,2,0,2022,0.1360291770462279,0.0,1,18.99725425590335,1,MHK,ACE,39.14122222222222,-96.67180555555557,2.54067623644568,0.014880261579536818,-0.054916495986708704,0.7701410943108687,-1.5010208413260147,NaN,NaN,-0.021065590023702545,0.031190107646490384,NaN,-0.014039274987196574,NaN,NaN,NaN,0.08521099545864849,0.0011976836913155696,0.00457150417537404,0.14470425179831928,0.1766993195007373,NaN,NaN,0.0018012474623410404,0.0018073646132735737,NaN,0.004883533148091836,NaN,NaN,NaN,2.402189785895756e-195,1.9314919295745387e-35,3.0441815170034808e-33,1.0253486254066529e-07,1.9831787543792093e-17,NaN,NaN,1.3518635941269544e-31,9.873427867179524e-67,NaN,0.004042588802798237,NaN,NaN,NaN,22.6,NaN,0.07599894576485455,-6179.001687371585,-6687.223633620568,3.3706051263465125e-215,generalizePoisson,VFR ~ IFR + AWND + PRCP + PRCP_SQRT + TMIN + TMAX + Month,9.796605382425444,49.0062092211883,21.911058692554327
2392,0,1650916800,2022-04-25 09:15:07,2022-04-25 22:50:48,80.56,52.03,8.63,Clouds,0.0,0.0,0.0,2022-04-25,4,25,0,2022,0.0,0.0,1,49.94805194805195,1,MHR,AWP,38.55531111111111,-121.29721111111111,86.89957052334076,0.011756566921108857,NaN,NaN,-0.546227969037679,NaN,NaN,-0.01386073608616069,0.013948350685907726,NaN,-0.009547011609386294,NaN,-0.05993335507526548,-0.040964939023305266,10.39250286684351,0.00029589961972728096,NaN,NaN,0.04829657645909826,NaN,NaN,0.001464371395072534,0.0009665798368819368,NaN,0.002158382984804564,NaN,0.004046240259064131,0.005146349058055884,6.179167556496021e-17,0.0,NaN,NaN,1.1726402552946911e-29,NaN,NaN,2.926784219803741e-21,3.3206074222754985e-47,NaN,9.723879121692935e-06,NaN,1.2233920361203148e-49,1.7203913890459931e-15,38.73,NaN,0.11608244956181746,-6975.265220035467,-7891.307528148563,0.0,generalizePoisson,VFR ~ IFR + PRCP_SQRT + TMIN + TMAX + Year + Month + Week_Day,2.1156574910998095e-16,1.083602169012547e+20,151.4110645310781
2393,1,1651003200,2022-04-26 09:13:51,2022-04-26 22:51:46,76.55,49.21,6.58,Clouds,0.0,0.0,0.0,2022-04-26,4,26,1,2022,0.0,0.0,0,49.94805194805195,1,MHR,AWP,38.55531111111111,-121.29721111111111,86.89957052334076,0.011756566921108857,NaN,NaN,-0.546227969037679,NaN,NaN,-0.01386073608616069,0.013948350685907726,NaN,-0.009547011609386294,NaN,-0.05993335507526548,-0.040964939023305266,10.39250286684351,0.00029589961972728096,NaN,NaN,0.04829657645909826,NaN,NaN,0.001464371395072534,0.0009665798368819368,NaN,0.002158382984804564,NaN,0.004046240259064131,0.005146349058055884,6.179167556496021e-17,0.0,NaN,NaN,1.1726402552946911e-29,NaN,NaN,2.926784219803741e-21,3.3206074222754985e-47,NaN,9.723879121692935e-06,NaN,1.2233920361203148e-49,1.7203913890459931e-15,38.73,NaN,0.11608244956181746,-6975.265220035467,-7891.307528148563,0.0,generalizePoisson,VFR ~ IFR + PRCP_SQRT + TMIN + TMAX + Year + Month + Week_Day,1.974562194442084e-16,9.957608470616449e+19,140.22095860867424
