OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BAZ,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
03-12-2017,0,4,20,4,28,0,0,0,0,0,0,0,5,0,5,0,0,2,0,2,26,0,26,59,61,
03/13/2017,0,2,20,8,30,0,0,0,0,0,0,2,24,0,26,0,0,6,4,10,70,6,76,132,142,
03/14/2017,0,0,12,23,35,0,0,0,0,0,0,2,75,3,80,0,2,8,24,34,228,50,278,393,427,
03/15/2017,0,0,11,12,23,0,0,0,0,0,0,4,60,0,64,0,4,4,8,16,204,6,210,297,313,
03/16/2017,0,0,10,25,35,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,104,2,106,155,155,
03/17/2017,0,0,12,22,34,0,0,0,0,0,0,2,33,1,36,0,4,4,0,8,66,30,96,166,174,
03/18/2017,0,0,23,0,23,0,0,0,0,0,0,2,14,0,16,0,0,0,0,0,36,0,36,75,75,
03/19/2017,0,0,4,0,4,0,0,0,0,0,0,1,36,0,37,0,0,2,0,2,56,0,56,97,99,
03/20/2017,0,0,17,8,25,0,0,0,0,0,0,2,53,0,55,0,4,14,22,40,114,18,132,212,252,
03/21/2017,0,2,11,8,21,0,0,0,0,0,0,1,37,0,38,0,4,6,18,28,44,6,50,109,137,
03/22/2017,0,1,20,18,39,0,0,0,0,0,0,3,50,2,55,0,0,0,18,18,94,18,112,206,224,
03/23/2017,0,0,14,22,36,0,0,2,0,2,0,1,19,0,20,0,0,14,20,34,14,16,30,86,122,
03/24/2017,0,1,5,7,13,0,0,0,0,0,0,2,35,0,37,0,0,14,8,22,62,0,62,112,134,
03/25/2017,0,2,8,0,10,0,0,0,0,0,0,4,81,0,85,0,0,8,0,8,198,0,198,293,301,
03/26/2017,0,1,6,0,7,0,0,0,0,0,0,1,24,0,25,0,0,8,0,8,12,0,12,44,52,
03/27/2017,0,0,9,10,19,0,0,0,0,0,0,0,48,1,49,0,0,4,46,50,176,18,194,262,312,
03/28/2017,0,0,11,10,21,0,0,0,0,0,0,5,6,1,12,0,0,2,36,38,10,10,20,53,91,
03/29/2017,0,0,10,22,32,0,0,0,0,0,0,2,50,2,54,0,2,10,0,12,84,12,96,182,194,
03/30/2017,0,0,23,18,41,0,0,0,0,0,0,0,60,10,70,0,0,16,0,16,68,22,90,201,217,
03/31/2017,0,0,15,0,15,0,0,0,0,0,0,0,76,2,78,0,0,2,2,4,130,0,130,223,227,
04-01-2017,0,0,3,0,3,0,0,0,0,0,0,0,11,0,11,0,0,22,0,22,80,0,80,94,116,
04-02-2017,0,1,9,0,10,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,10,0,10,33,33,
04-03-2017,0,2,12,2,16,0,0,0,0,0,0,0,46,2,48,0,0,10,0,10,76,20,96,160,170,
04-04-2017,0,0,17,12,29,0,0,0,0,0,0,2,75,0,77,0,0,10,12,22,188,34,222,328,350,
04-05-2017,0,0,16,22,38,0,0,0,0,0,0,0,41,2,43,0,4,10,0,14,50,12,62,143,157,
04-06-2017,0,0,11,18,29,0,0,0,0,0,0,3,85,2,90,0,8,6,28,42,158,44,202,321,363,
04-07-2017,0,1,9,8,18,0,0,0,0,0,0,6,76,0,82,0,2,10,0,12,124,6,130,230,242,
04-08-2017,0,0,13,0,13,0,0,0,0,0,0,1,44,2,47,0,0,14,0,14,82,8,90,150,164,
04-09-2017,0,0,11,18,29,0,0,2,0,2,0,2,15,0,17,0,0,0,0,0,12,2,14,60,62,
04-10-2017,0,0,20,22,42,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,46,18,64,119,119,
04-11-2017,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,7,
04-12-2017,0,0,34,28,62,0,0,0,0,0,0,0,24,0,24,0,0,4,0,4,54,0,54,140,144,
04/13/2017,0,0,39,12,51,0,0,0,0,0,0,3,50,0,53,0,0,0,70,70,134,8,142,246,316,
04/14/2017,0,0,23,4,27,0,0,0,0,0,0,1,51,0,52,0,4,0,0,4,132,0,132,211,215,
04/15/2017,0,0,25,0,25,0,0,0,0,0,0,2,35,0,37,0,0,12,0,12,110,0,110,172,184,
04/16/2017,0,1,8,0,9,0,0,0,0,0,0,3,9,0,12,0,0,2,0,2,12,0,12,33,35,
04/17/2017,0,0,13,2,15,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,17,17,
04/18/2017,0,3,26,16,45,0,0,0,0,0,0,0,48,6,54,0,0,4,0,4,122,64,186,285,289,
