OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GSP,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
05/04/2018,62,50,17,0,129,0,1,1,2,4,0,3,9,0,12,0,0,3,0,3,0,0,0,141,148
05/05/2018,43,26,5,0,74,0,1,2,0,3,0,2,4,0,6,0,1,4,0,5,0,0,0,80,88
05/06/2018,55,38,18,0,111,0,0,1,0,1,0,0,5,0,5,0,0,3,0,3,8,0,8,124,128
05/07/2018,60,44,19,2,125,0,0,0,0,0,0,2,5,3,10,0,0,3,2,5,0,0,0,135,140
05/08/2018,63,42,18,12,135,0,1,0,0,1,0,0,13,0,13,0,0,1,0,1,0,0,0,148,150
05/09/2018,64,41,23,29,157,1,5,0,0,6,0,0,10,0,10,0,2,6,0,8,0,0,0,167,181
05/10/2018,61,37,22,0,120,0,0,3,0,3,0,0,8,3,11,0,0,5,1,6,0,0,0,131,140
05/11/2018,68,45,14,0,127,1,1,2,1,5,0,4,9,1,14,0,2,5,0,7,0,0,0,141,153
05/12/2018,46,21,9,0,76,1,1,3,1,6,0,0,5,2,7,0,0,7,2,9,0,0,0,83,98
05/13/2018,58,35,10,0,103,0,0,3,0,3,0,0,7,0,7,0,0,9,0,9,6,0,6,116,128
05/14/2018,68,36,21,0,125,0,3,3,0,6,0,2,8,2,12,0,1,5,1,7,0,0,0,137,150
05/15/2018,66,43,25,0,134,0,2,0,0,2,0,3,0,0,3,0,0,1,1,2,0,0,0,137,141
05/16/2018,71,48,38,0,157,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,157,160
05/17/2018,68,46,26,0,140,0,0,2,0,2,0,1,1,0,2,0,1,1,0,2,0,0,0,142,146
05/18/2018,60,45,16,9,130,0,0,2,0,2,0,0,3,2,5,0,0,0,0,0,0,7,7,142,144
05/19/2018,43,21,8,0,72,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,74
05/20/2018,52,44,18,5,119,0,1,3,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,122,126
05/21/2018,62,44,19,21,146,0,2,2,1,5,0,2,8,0,10,0,0,5,0,5,0,0,0,156,166
05/22/2018,69,37,16,2,124,0,1,4,0,5,0,1,1,0,2,0,0,0,0,0,0,0,0,126,131
05/23/2018,65,43,22,6,136,1,1,5,2,9,0,0,10,8,18,0,0,4,2,6,0,16,16,170,185
05/24/2018,69,40,19,0,128,0,1,0,0,1,0,2,2,2,6,0,0,4,2,6,0,0,0,134,141
05/25/2018,69,47,25,0,141,1,0,1,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,142,145
05/26/2018,42,21,4,0,67,0,0,0,1,1,0,2,2,0,4,0,0,1,2,3,0,0,0,71,75
05/27/2018,50,22,16,0,88,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,0,0,0,90,92
05/28/2018,58,35,6,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99
05/29/2018,65,36,22,0,123,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,123,127
05/30/2018,72,36,15,0,123,0,2,5,1,8,0,1,1,0,2,0,0,2,0,2,0,0,0,125,135
05/31/2018,67,41,26,16,150,0,2,6,1,9,0,0,0,0,0,0,0,1,1,2,0,0,0,150,161
