OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=STJ,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
03/03/2017,0,0,3,0,3,0,0,0,0,0,0,1,12,10,23,0,0,0,0,0,12,60,72,98,98
03/04/2017,0,0,4,1,5,0,0,0,0,0,0,0,7,14,21,0,0,0,0,0,0,36,36,62,62
03/05/2017,0,0,2,5,7,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8,8,17,17
03/06/2017,0,0,7,1,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,10,10
03/07/2017,0,0,8,3,11,0,0,0,0,0,0,0,9,5,14,0,0,0,0,0,1,14,15,40,40
03/08/2017,0,0,3,12,15,0,0,0,0,0,0,1,29,8,38,0,0,0,0,0,30,47,77,130,130
03/09/2017,0,0,7,2,9,0,0,0,0,0,0,2,25,11,38,0,0,0,0,0,0,52,52,99,99
03/10/2017,0,0,9,1,10,0,0,0,0,0,0,0,12,4,16,0,0,0,0,0,24,14,38,64,64
03/11/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/12/2017,0,0,0,2,2,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,0,10,16,16
03/13/2017,0,0,3,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,14,0,14,19,19
03/14/2017,0,0,8,13,21,0,0,0,0,0,0,0,3,16,19,0,0,0,0,0,0,16,16,56,56
03/15/2017,0,0,4,11,15,0,0,0,0,0,0,0,11,12,23,0,0,0,0,0,12,28,40,78,78
03/16/2017,0,0,5,0,5,0,0,0,0,0,0,0,16,15,31,0,0,0,0,0,5,45,50,86,86
03/17/2017,0,0,6,1,7,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,10,0,10,31,31
03/18/2017,0,0,2,0,2,0,0,0,0,0,0,1,32,0,33,0,0,0,0,0,18,0,18,53,53
03/19/2017,0,0,6,1,7,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,6,0,6,31,31
03/20/2017,0,0,14,0,14,0,0,0,0,0,0,4,21,0,25,0,0,0,0,0,10,0,10,49,49
03/21/2017,0,0,3,16,19,0,0,0,0,0,0,0,11,6,17,0,0,0,0,0,0,48,48,84,84
03/22/2017,0,0,21,9,30,0,0,0,0,0,0,0,18,19,37,0,0,0,0,0,26,40,66,133,133
03/23/2017,0,0,8,8,16,0,0,0,0,0,0,1,8,11,20,0,0,0,0,0,0,62,62,98,98
03/24/2017,0,0,2,0,2,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,0,4,11,11
03/25/2017,0,0,6,2,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,11,11
03/26/2017,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,4
03/27/2017,0,0,14,0,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4,20,20
03/28/2017,0,0,7,28,35,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,14,14,54,54
03/29/2017,0,0,3,42,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45
03/30/2017,0,0,26,21,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47
03/31/2017,0,0,3,8,11,0,0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,0,0,25,25
04/01/2017,0,0,0,3,3,0,0,0,0,0,0,1,8,0,9,0,0,0,0,0,14,0,14,26,26
04/02/2017,0,0,7,1,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,9
04/03/2017,0,0,0,0,0,0,0,4,4,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,9
04/04/2017,0,0,3,27,30,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,22,24,46,78,78
04/05/2017,0,0,2,17,19,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,27,27,48,48
04/06/2017,0,0,11,1,12,0,0,0,0,0,0,4,17,35,56,0,0,0,0,0,10,62,72,140,140
04/07/2017,0,0,9,2,11,0,0,0,0,0,0,0,30,4,34,0,0,0,0,0,22,8,30,75,75
04/08/2017,0,0,2,4,6,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,20,6,26,46,46
04/09/2017,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,5
04/10/2017,0,0,2,3,5,0,0,0,0,0,0,4,8,0,12,0,0,0,0,0,0,0,0,17,17
04/11/2017,0,0,10,19,29,0,0,0,0,0,0,0,33,9,42,0,0,0,0,0,10,18,28,99,99
04/12/2017,0,0,10,22,32,0,0,0,0,0,0,4,20,12,36,0,0,0,0,0,26,48,74,142,142
04/13/2017,0,0,14,2,16,0,0,0,0,0,0,2,22,12,36,0,0,0,0,0,0,28,28,80,80
04/14/2017,0,0,6,4,10,0,0,0,0,0,0,2,4,0,6,0,0,0,0,0,0,0,0,16,16
04/15/2017,0,0,2,1,3,0,0,0,0,0,0,0,38,0,38,0,0,0,0,0,20,0,20,61,61
04/16/2017,0,0,0,0,0,0,0,0,0,0,0,1,11,0,12,0,0,0,0,0,16,0,16,28,28
04/17/2017,0,0,5,4,9,0,0,0,0,0,0,4,12,8,24,0,0,0,0,0,42,26,68,101,101
04/18/2017,0,0,19,8,27,0,0,0,0,0,0,0,14,17,31,0,0,0,0,0,18,24,42,100,100
04/19/2017,0,0,3,21,24,0,0,0,0,0,0,0,13,11,24,0,0,0,0,0,10,18,28,76,76
04/20/2017,0,0,11,5,16,0,0,0,0,0,0,1,24,4,29,0,0,0,0,0,12,66,78,123,123
04/21/2017,0,0,7,0,7,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,21,21
04/22/2017,0,0,0,2,2,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,8,0,8,17,17
04/23/2017,0,0,1,1,2,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,38,0,38,63,63
04/24/2017,0,0,4,2,6,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,16,16
04/25/2017,0,0,10,2,12,0,0,0,0,0,0,2,13,1,16,0,0,0,0,0,6,0,6,34,34
04/26/2017,0,0,9,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,18,0,18,36,36
04/27/2017,0,0,10,2,12,0,0,0,0,0,0,0,13,2,15,0,0,0,0,0,26,0,26,53,53
04/28/2017,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
04/29/2017,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3
04/30/2017,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
05/01/2017,0,0,4,2,6,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,8,8
05/02/2017,0,0,8,4,12,0,0,0,0,0,0,2,15,8,25,0,0,0,0,0,38,38,76,113,113
05/03/2017,0,0,7,8,15,0,0,0,0,0,0,0,12,11,23,0,0,0,0,0,12,24,36,74,74
05/04/2017,0,0,18,5,23,0,0,0,0,0,0,0,0,0,0,0,4,10,10,24,0,6,6,29,53
05/05/2017,0,0,15,0,15,0,0,0,15,15,0,4,36,0,40,0,0,0,0,0,22,0,22,77,92
05/06/2017,0,0,2,0,2,0,0,0,0,0,0,1,22,3,26,0,0,0,0,0,57,0,57,85,85
05/07/2017,0,0,5,0,5,0,0,0,0,0,0,1,19,0,20,0,0,0,0,0,22,0,22,47,47
05/08/2017,0,0,13,1,14,0,0,0,0,0,0,2,38,0,40,0,0,0,0,0,22,0,22,76,76
05/09/2017,0,0,14,11,25,0,0,0,0,0,0,0,35,4,39,0,0,0,0,0,54,30,84,148,148
05/10/2017,0,0,13,8,21,0,0,0,0,0,0,0,3,9,12,0,0,0,0,0,0,10,10,43,43
05/11/2017,0,0,0,0,0,0,0,12,6,18,0,0,0,0,0,0,0,2,23,25,0,40,40,40,83
05/12/2017,0,0,5,5,10,0,0,0,0,0,0,4,10,14,28,0,0,0,0,0,12,2,14,52,52
05/13/2017,0,0,42,0,42,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,14,0,14,62,62
05/14/2017,0,0,2,1,3,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,9,9
05/15/2017,0,0,10,0,10,0,0,0,0,0,0,4,37,0,41,0,0,0,0,0,18,0,18,69,69
05/16/2017,0,4,9,3,16,0,0,0,0,0,0,1,1,9,11,0,0,0,0,0,0,12,12,39,39
05/17/2017,0,0,7,7,14,0,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,2,2,25,25
05/19/2017,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,5,5
05/20/2017,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,8
05/21/2017,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,4,0,4,20,20
05/22/2017,0,0,4,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,2,9,9
05/23/2017,0,0,9,10,19,0,0,0,0,0,0,0,16,10,26,0,0,0,0,0,13,67,80,125,125
05/24/2017,0,0,10,19,29,0,0,0,0,0,0,0,4,4,8,0,0,0,0,0,10,68,78,115,115
05/25/2017,0,0,5,12,17,0,0,0,0,0,0,0,31,9,40,0,0,0,0,0,32,32,64,121,121
05/26/2017,0,0,5,0,5,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,28,0,28,60,60
05/27/2017,0,0,2,0,2,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,11,11
05/28/2017,0,0,0,0,0,0,0,0,0,0,0,5,16,0,21,0,0,0,0,0,16,0,16,37,37
05/29/2017,0,0,1,0,1,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,46,0,46,61,61
05/30/2017,0,0,2,10,12,0,0,0,0,0,0,4,19,8,31,0,0,0,0,0,18,60,78,121,121
05/31/2017,0,0,7,10,17,0,0,0,0,0,0,1,20,2,23,0,0,0,0,0,46,78,124,164,164
06/01/2017,1,0,4,4,9,0,0,0,0,0,0,1,19,19,39,0,0,0,0,0,4,40,44,92,92
06/02/2017,0,0,12,2,14,0,0,0,0,0,0,0,94,2,96,0,0,0,0,0,18,0,18,128,128
06/03/2017,0,0,11,2,13,0,0,0,0,0,0,0,18,7,25,0,0,0,0,0,30,2,32,70,70
06/04/2017,0,0,5,1,6,0,0,0,0,0,0,2,14,3,19,0,0,0,0,0,2,0,2,27,27
06/05/2017,0,0,0,0,0,0,0,3,7,10,0,1,14,5,20,0,0,0,0,0,10,24,34,54,64
06/06/2017,0,0,6,6,12,0,0,0,0,0,0,0,11,3,14,0,0,0,0,0,38,34,72,98,98
06/07/2017,0,0,0,0,0,0,0,16,1,17,0,0,41,2,43,0,0,0,0,0,20,0,20,63,80
06/08/2017,0,0,14,1,15,0,0,0,0,0,0,0,5,8,13,0,0,0,0,0,29,28,57,85,85
06/09/2017,0,0,2,1,3,0,0,0,0,0,0,0,21,1,22,0,0,0,0,0,74,0,74,99,99
06/10/2017,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,31,31
06/11/2017,0,0,8,0,8,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,14,14
06/12/2017,0,0,11,9,20,0,0,0,0,0,0,0,6,2,8,0,0,0,0,0,14,14,28,56,56
06/13/2017,0,0,4,6,10,0,0,0,0,0,0,0,11,2,13,0,0,0,0,0,6,22,28,51,51
06/14/2017,0,0,2,10,12,0,0,0,0,0,0,0,3,12,15,0,0,0,0,0,16,22,38,65,65
06/15/2017,0,0,17,4,21,0,0,0,0,0,0,0,35,12,47,0,0,0,0,0,48,20,68,136,136
06/16/2017,0,0,1,2,3,0,0,0,0,0,0,1,53,2,56,0,0,0,0,0,52,10,62,121,121
06/17/2017,0,0,3,0,3,0,0,0,0,0,0,1,28,0,29,0,0,0,0,0,12,0,12,44,44
06/18/2017,0,0,6,1,7,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,20,0,20,60,60
06/19/2017,0,0,5,2,7,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,96,0,96,138,138
06/20/2017,0,0,4,7,11,0,0,0,0,0,0,4,28,24,56,0,0,0,0,0,23,42,65,132,132
06/21/2017,0,0,6,6,12,0,0,0,0,0,0,1,11,21,33,0,0,0,0,0,16,48,64,109,109
06/22/2017,0,0,6,7,13,0,0,0,0,0,0,1,17,20,38,0,0,0,0,0,24,78,102,153,153
06/23/2017,0,0,4,8,12,0,0,0,0,0,0,0,27,5,32,0,0,0,0,0,6,34,40,84,84
06/24/2017,0,0,4,0,4,0,0,0,0,0,0,2,50,0,52,0,0,0,0,0,16,0,16,72,72
06/25/2017,0,0,4,1,5,0,0,0,0,0,0,3,21,0,24,0,0,0,0,0,42,0,42,71,71
06/26/2017,0,0,5,0,5,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,22,22
06/27/2017,0,0,7,8,15,0,0,0,0,0,0,2,17,16,35,0,0,0,0,0,14,34,48,98,98
06/28/2017,0,0,4,1,5,0,0,0,0,0,0,2,0,16,18,0,0,0,0,0,0,52,52,75,75
06/29/2017,0,0,9,1,10,0,0,0,0,0,0,0,12,23,35,0,0,0,0,0,6,28,34,79,79
06/30/2017,0,12,8,0,20,0,0,0,0,0,0,1,42,0,43,0,0,0,0,0,20,8,28,91,91
07/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,69,0,69,0,0,0,0,0,46,0,46,115,115
07/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,30,0,30,37,37
07/03/2017,0,0,3,0,3,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,56,0,56,95,95
07/04/2017,0,0,5,0,5,0,0,0,0,0,0,1,16,0,17,0,0,0,0,0,2,0,2,24,24
07/05/2017,0,0,3,0,3,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,29,29
07/06/2017,0,0,7,25,32,0,0,0,0,0,0,1,60,7,68,0,0,0,0,0,16,30,46,146,146
07/07/2017,0,0,3,0,3,0,0,0,0,0,0,0,41,0,41,0,0,0,0,0,6,0,6,50,50
07/08/2017,0,0,2,0,2,0,0,0,0,0,0,0,28,6,34,0,0,0,0,0,12,2,14,50,50
07/09/2017,0,0,2,1,3,0,0,0,0,0,0,0,43,2,45,0,0,0,0,0,16,0,16,64,64
07/10/2017,0,0,6,0,6,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,4,0,4,21,21
07/11/2017,0,0,9,14,23,0,0,0,0,0,0,5,17,12,34,0,0,0,0,0,26,34,60,117,117
07/12/2017,0,0,4,16,20,0,0,0,0,0,0,2,13,20,35,0,0,0,0,0,12,10,22,77,77
07/13/2017,0,0,4,6,10,0,0,0,0,0,0,0,44,7,51,0,0,0,0,0,10,34,44,105,105
07/14/2017,0,0,6,11,17,0,0,0,0,0,0,0,58,3,61,0,0,0,0,0,10,8,18,96,96
07/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70,0,0,0,0,0,28,0,28,98,98
07/16/2017,0,0,2,0,2,0,0,0,0,0,0,0,45,0,45,0,0,0,0,0,6,0,6,53,53
07/17/2017,0,0,7,2,9,0,0,0,0,0,0,2,51,0,53,0,0,0,0,0,52,0,52,114,114
07/18/2017,0,0,6,12,18,0,0,0,0,0,0,2,49,6,57,0,0,0,0,0,34,40,74,149,149
07/19/2017,0,0,16,7,23,0,0,0,0,0,0,0,27,42,69,0,0,0,0,0,0,38,38,130,130
07/20/2017,0,0,7,9,16,0,0,0,0,0,0,0,57,41,98,0,0,0,0,0,36,66,102,216,216
07/21/2017,0,0,8,2,10,0,0,0,0,0,0,2,26,2,30,0,0,0,0,0,16,0,16,56,56
07/22/2017,0,0,6,0,6,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,26,26
07/23/2017,0,0,8,2,10,0,0,0,0,0,0,0,53,0,53,0,0,0,0,0,10,0,10,73,73
07/24/2017,0,0,6,5,11,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,39,0,39,70,70
07/25/2017,0,0,10,12,22,0,0,0,0,0,0,4,19,15,38,0,0,0,0,0,8,10,18,78,78
07/26/2017,0,0,12,10,22,0,0,0,0,0,0,0,29,40,69,0,0,0,0,0,0,32,32,123,123
07/27/2017,0,0,15,14,29,0,0,0,0,0,0,1,29,11,41,0,0,0,0,0,47,103,150,220,220
07/28/2017,0,0,8,12,20,0,0,0,0,0,0,0,42,0,42,0,0,0,0,0,17,0,17,79,79
07/29/2017,0,0,1,0,1,0,0,0,0,0,0,1,40,0,41,0,0,0,0,0,8,0,8,50,50
07/30/2017,0,0,13,1,14,0,0,0,0,0,0,0,56,0,56,0,0,0,0,0,82,0,82,152,152
07/31/2017,0,0,4,0,4,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,12,0,12,51,51
08/01/2017,0,0,9,8,17,0,0,0,0,0,0,1,50,18,69,0,0,0,0,0,50,18,68,154,154
08/02/2017,0,0,9,13,22,0,0,0,0,0,0,1,25,19,45,0,0,0,0,0,4,65,69,136,136
08/03/2017,0,0,5,15,20,0,0,0,0,0,0,2,14,17,33,0,0,0,0,0,44,72,116,169,169
08/04/2017,0,0,9,6,15,0,0,0,0,0,0,3,53,2,58,0,0,0,0,0,8,8,16,89,89
08/05/2017,0,0,0,5,5,0,0,0,0,0,0,0,8,2,10,0,0,0,0,0,2,0,2,17,17
08/06/2017,0,0,26,0,26,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,4,0,4,49,49
08/07/2017,0,0,6,0,6,0,0,0,0,0,0,0,33,0,33,0,0,0,0,0,14,0,14,53,53
08/08/2017,0,0,10,7,17,0,0,0,0,0,0,3,54,14,71,0,0,0,0,0,50,34,84,172,172
08/09/2017,0,0,3,10,13,0,0,0,0,0,0,2,11,6,19,0,0,0,0,0,0,46,46,78,78
08/10/2017,0,0,11,7,18,0,0,0,0,0,0,0,29,18,47,0,0,0,0,0,6,6,12,77,77
08/11/2017,0,0,5,0,5,0,0,0,0,0,0,3,23,33,59,0,0,0,0,0,26,4,30,94,94
08/12/2017,0,0,3,0,3,0,0,0,0,0,0,1,72,0,73,0,0,0,0,0,24,0,24,100,100
08/13/2017,0,0,5,0,5,0,0,0,0,0,0,1,13,0,14,0,0,0,0,0,70,0,70,89,89
08/14/2017,0,0,8,5,13,0,0,0,0,0,0,1,42,3,46,0,0,0,0,0,0,0,0,59,59
08/15/2017,0,0,13,17,30,0,0,0,0,0,0,1,36,12,49,0,0,0,0,0,10,14,24,103,103
08/16/2017,0,0,8,21,29,0,0,0,0,0,0,0,5,16,21,0,0,0,0,0,16,24,40,90,90
